55,4903989097127843,$5102.57,549-914-5892
36,5179836658822714,$3741.91,454-480-7683
23,6304029660101022,$8229.92,300-293-2807
33,201452514187921,$8867.29,328-636-5183
40,4026096063143176,$9732.40,674-436-7312
37,3528983943832935,$7034.20,703-751-4952
28,344549066566341,$8499.56,916-603-2286
38,6299644112710605,$4109.01,259-694-1848
22,6334086169357079,$6344.97,240-890-4102
40,4903735238721493,$5938.86,344-684-5118
59,6372803169763954,$173.49,641-533-7749
36,201427060430594,$5226.03,862-805-8858
53,341991460587460,$4729.22,214-995-7364
49,6011306691505387,$7818.64,964-667-7015
18,4903526653950950,$9575.46,551-301-2468
38,340465392535435,$4537.64,955-394-1592
